timestamp,time,load,cpu_usage,gpu_power,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7,cpu_core_8,cpu_core_9,cpu_core_10,cpu_core_11,cpu_core_12,cpu_core_13,cpu_core_14,cpu_core_15,cpu_freq,cpu_temp,gpu_temp,current,voltage,power,proc_count,nvidia_util,nvidia_power,nvidia_temp,fan1,fan2,stage
1776305559.8150775,07:42:39,NO_LOAD,0.7,3.10,0.8,4.0,1.6,0.8,0.0,0.0,2.4,1.6,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,1191.2,44.5,43.0,0.802,16.35,13.12,426,0.0,4.3,41.0,44,44,3
1776305561.0876396,07:42:41,NO_LOAD,0.8,3.04,0.0,3.9,2.4,0.8,0.8,0.0,2.4,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.0,0.0,1247.9,44.1,43.0,0.821,16.34,13.41,426,0.0,4.3,40.0,44,44,3
1776305562.2744594,07:42:42,NO_LOAD,1.0,3.11,0.0,4.2,1.7,0.8,2.5,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1481.3,44.0,43.0,0.832,16.35,13.60,426,0.0,4.3,40.0,44,44,2
1776305563.5188656,07:42:43,NO_LOAD,1.1,3.11,1.6,3.3,8.1,0.8,0.8,0.0,1.6,0.8,0.0,2.4,0.0,0.0,0.8,0.0,0.0,0.0,1183.8,44.0,43.0,0.819,16.34,13.38,426,0.0,4.3,40.0,44,44,2
1776305564.7609515,07:42:44,NO_LOAD,0.8,3.03,0.0,4.0,2.4,0.8,0.8,0.0,0.8,1.6,2.4,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1124.0,44.0,43.0,0.819,16.32,13.36,426,0.0,4.3,40.0,44,44,2
1776305566.0099618,07:42:46,NO_LOAD,0.8,3.04,2.4,4.8,2.4,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1116.9,43.8,43.0,0.837,16.35,13.68,426,0.0,4.3,40.0,44,43,2
1776305567.2868,07:42:47,NO_LOAD,0.8,4.25,0.0,3.2,2.4,0.8,1.6,0.8,1.6,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1261.4,43.6,42.0,0.825,16.35,13.49,426,0.0,4.3,40.0,43,43,2
1776305568.5396311,07:42:48,NO_LOAD,0.9,3.04,0.8,4.0,1.6,0.0,2.4,0.0,1.6,0.0,0.8,0.0,1.6,0.0,0.0,0.0,2.4,0.0,1177.6,43.6,43.0,0.818,16.34,13.37,426,0.0,4.3,40.0,43,43,2
1776305569.7536376,07:42:49,NO_LOAD,0.8,3.08,0.8,2.5,5.0,0.8,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,43.6,43.0,0.814,16.34,13.30,426,0.0,4.3,40.0,43,43,2
1776305571.009201,07:42:51,NO_LOAD,0.8,3.04,0.8,3.2,1.6,0.0,0.8,0.0,3.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.9,43.5,43.0,0.810,16.33,13.23,426,0.0,4.3,40.0,43,43,2
1776305572.2595243,07:42:52,NO_LOAD,0.9,3.05,0.0,3.2,3.2,0.0,0.8,0.0,3.2,1.6,0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.0,1153.7,43.5,42.0,0.820,16.36,13.41,426,0.0,4.3,40.0,43,43,2
1776305573.5301712,07:42:53,NO_LOAD,0.7,3.09,0.0,4.0,4.0,0.8,0.8,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.6,43.5,43.0,0.804,16.37,13.16,426,0.0,4.3,40.0,43,43,2
1776305574.7805972,07:42:54,NO_LOAD,0.7,3.05,0.8,4.0,0.8,0.8,0.0,0.0,1.6,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1138.9,43.5,43.0,0.803,16.34,13.12,426,0.0,4.3,40.0,43,43,2
1776305576.0365791,07:42:56,NO_LOAD,0.9,3.04,0.8,4.0,3.2,1.6,0.0,0.0,3.2,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1119.5,43.4,43.0,0.823,16.33,13.44,426,0.0,4.3,40.0,43,43,2
1776305577.2287338,07:42:57,NO_LOAD,0.8,3.12,0.8,5.0,2.5,0.0,1.7,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.8,43.4,43.0,0.802,16.34,13.10,426,0.0,4.3,40.0,43,43,2
1776305578.5001006,07:42:58,NO_LOAD,0.9,3.05,0.0,3.2,2.4,0.8,1.6,1.6,3.1,0.0,2.3,0.0,0.8,0.0,0.0,0.8,0.8,0.0,1182.6,43.4,42.0,0.796,16.33,13.00,426,0.0,4.3,40.0,43,43,2
1776305579.76132,07:42:59,NO_LOAD,0.8,3.05,1.6,4.0,2.4,0.0,0.8,0.0,1.6,0.8,1.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1211.0,43.4,42.0,0.800,16.36,13.08,426,0.0,4.3,40.0,43,43,2
1776305581.013636,07:43:01,NO_LOAD,0.7,3.06,0.0,4.0,0.8,1.6,0.8,0.0,2.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.4,43.2,43.0,0.797,16.35,13.03,426,0.0,4.3,40.0,43,43,2
1776305582.264995,07:43:02,NO_LOAD,0.9,3.03,0.0,3.3,3.2,0.0,1.6,0.0,2.4,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1188.5,43.2,42.0,0.799,16.34,13.06,426,0.0,4.3,40.0,43,43,2
1776305583.50774,07:43:03,NO_LOAD,0.8,3.04,0.0,3.3,3.3,0.8,1.6,0.8,0.8,0.0,0.8,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1116.9,43.2,42.0,0.819,16.35,13.39,426,0.0,4.3,40.0,43,43,2
1776305584.6497018,07:43:04,NO_LOAD,0.7,3.04,0.9,4.4,1.8,1.7,0.0,0.0,0.9,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.8,43.2,42.0,0.820,16.34,13.40,426,0.0,4.3,40.0,43,43,2
1776305585.9108331,07:43:05,NO_LOAD,0.9,3.06,0.8,4.0,1.6,1.6,2.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1195.4,43.1,43.0,0.830,16.36,13.58,426,0.0,4.3,40.0,43,43,2
1776305587.1238105,07:43:07,NO_LOAD,1.3,3.09,2.5,3.4,3.4,0.8,1.7,0.0,4.9,0.0,1.7,0.0,1.6,0.0,0.0,0.0,0.8,0.0,1221.6,43.1,42.0,0.842,16.33,13.75,426,0.0,4.3,40.0,43,43,2
1776305588.2842085,07:43:08,NO_LOAD,1.6,4.22,2.6,5.9,7.9,3.4,1.7,0.0,0.9,0.0,1.7,0.0,0.9,2.6,0.9,0.9,0.0,0.0,1213.1,43.2,43.0,0.854,16.33,13.94,429,0.0,4.3,40.0,43,43,2
